,customer_id,tr_datetime,mcc_code,tr_type,amount,term_id,day
4691170,70665012,0 12:41:29,4829,2371,-49410.15,,0
4691171,70665012,0 12:41:02,4829,4071,-494.1,,0
4691173,70665012,0 18:25:30,4829,2371,-39528.12,,0
4691174,70665012,0 18:25:15,4829,4071,-395.28,,0
4691176,70665012,1 11:23:45,4814,1030,-4491.83,,1
4691177,70665012,1 11:58:50,4829,2370,-44918.32,,1
4691179,70665012,3 10:06:48,4829,4071,-449.18,,3
4691180,70665012,3 10:06:50,4829,2371,-44918.32,,3
4691185,70665012,3 19:48:35,4829,2370,-20213.24,,3
4691188,70665012,4 11:57:15,4829,4071,-157.21,,4
4691189,70665012,4 11:57:22,4829,2371,-15721.41,,4
4691190,70665012,4 12:15:27,4829,4071,-112.3,,4
4691191,70665012,4 12:15:38,4829,2371,-11229.58,,4
4691192,70665012,4 12:50:57,4829,2370,-25828.03,,4
4691195,70665012,4 13:31:20,4829,4071,-449.18,,4
4691196,70665012,4 13:31:03,4829,2371,-44918.32,,4
4691197,70665012,4 14:47:08,4829,2370,-29421.5,,4
4691200,70665012,4 21:17:58,4829,2370,-89836.63,,4
4691203,70665012,5 14:52:14,4829,2371,-24705.07,,5
4691204,70665012,5 14:52:09,4829,4071,-247.05,,5
4691205,70665012,5 15:15:19,4829,4071,-375.07,,5
4691206,70665012,5 15:15:04,4829,2371,-37506.79,,5
4691207,70665012,5 15:25:51,4829,4071,-235.82,,5
4691208,70665012,5 15:25:20,4829,2371,-23582.12,,5
4691210,70665012,5 18:15:16,4814,1030,-4267.24,,5
4691211,70665012,5 18:59:55,4829,2371,-31442.82,,5
4691212,70665012,5 18:59:30,4829,4071,-314.43,,5
4691214,70665012,7 09:16:33,4829,2370,-22459.16,,7
4691215,70665012,7 12:07:12,4829,2371,-25940.33,,7
4691216,70665012,7 12:07:08,4829,4071,-259.4,,7
4691218,70665012,8 06:11:34,4829,2371,-40426.48,,8
4691219,70665012,8 06:11:06,4829,4071,-404.26,,8
4691222,70665012,8 17:51:00,4829,2370,-35260.88,,8
4691224,70665012,8 19:32:15,4829,2370,-31442.82,,8
4691225,70665012,8 19:52:08,4814,1030,-32565.78,,8
4691226,70665012,9 14:50:25,4829,2370,-4491.83,,9
4691229,70665012,10 09:05:25,4829,4071,-419.99,,10
4691230,70665012,10 09:05:57,4829,2371,-41998.62,,10
4691231,70665012,10 12:15:21,4829,2370,-23582.12,,10
4691234,70665012,11 07:41:10,4814,1030,-2245.92,,11
4691235,70665012,11 07:54:49,4829,2370,-89836.63,,11
4691237,70665012,11 12:15:14,4829,2371,-38180.57,,11
4691238,70665012,11 12:15:24,4829,4071,-381.81,,11
4691243,70665012,11 19:33:06,4829,2371,-40426.48,,11
4691244,70665012,11 19:33:58,4829,4071,-404.26,,11
4691245,70665012,11 19:46:41,4829,2370,-11229.58,,11
4691246,70665012,11 22:28:24,5411,1110,-32313.56,,11
4691247,70665012,11 23:33:24,4829,2370,-157214.1,,11
4691249,70665012,12 10:54:05,4829,2371,-26501.81,,12
4691250,70665012,12 10:54:17,4829,4071,-265.02,,12
4691251,70665012,12 13:34:30,4814,1030,-4491.83,,12
4691252,70665012,12 16:45:40,4829,4071,-442.45,,12
4691253,70665012,12 16:45:20,4829,2371,-44244.54,,12
4691255,70665012,13 10:34:45,4829,2370,-79280.83,,13
4691257,70665012,13 11:36:27,4814,1030,-30095.27,,13
4691258,70665012,13 11:50:18,4829,2370,-25828.03,,13
4691264,70665012,14 13:13:35,4829,2371,-20662.43,,14
4691265,70665012,14 13:13:15,4829,4071,-206.62,,14
4691266,70665012,14 13:18:04,4814,1030,-21560.79,,14
4691269,70665012,14 20:28:27,4829,2370,-67377.47,,14
4691271,70665012,15 09:11:44,4829,4071,-232.45,,15
4691272,70665012,15 09:11:00,4829,2371,-23245.23,,15
4691276,70665012,16 16:32:16,4829,2370,-33688.74,,16
4691278,70665012,16 17:31:00,4829,2371,-28747.72,,16
4691279,70665012,16 17:31:50,4829,4071,-287.48,,16
4691280,70665012,16 17:58:54,4829,4071,-235.82,,16
4691281,70665012,16 17:58:19,4829,2371,-23582.12,,16
4691283,70665012,16 19:18:22,4829,2370,-157214.1,,16
4691286,70665012,17 11:04:13,4829,2371,-15721.41,,17
4691287,70665012,17 11:04:09,4829,4071,-157.21,,17
4691288,70665012,17 11:32:54,4829,4071,-229.08,,17
4691289,70665012,17 11:32:14,4829,2371,-22908.34,,17
4691292,70665012,17 19:27:50,4829,2371,-69623.39,,17
4691293,70665012,17 19:27:02,4829,4071,-696.23,,17
4691297,70665012,18 14:41:11,4829,2371,-37057.61,,18
4691298,70665012,18 14:41:15,4829,4071,-370.58,,18
4691300,70665012,18 16:31:34,4829,2371,-98820.29,,18
4691301,70665012,18 16:31:34,4829,4071,-988.2,,18
4691302,70665012,18 16:57:25,4814,1030,-40426.48,,18
4691304,70665012,19 09:58:23,4829,2370,-157214.1,,19
4691306,70665012,19 13:42:54,4829,2371,-46041.27,,19
4691307,70665012,19 13:42:01,4829,4071,-460.41,,19
4691309,70665012,20 10:51:34,4829,2370,-11229.58,,20
4691312,70665012,20 12:22:16,4814,1030,-4491.83,,20
4691313,70665012,20 12:48:46,4829,2370,-14598.45,,20
4691319,70665012,21 09:35:46,4829,2370,-53452.8,,21
4691320,70665012,21 12:05:48,4829,2371,-28747.72,,21
4691321,70665012,21 12:05:09,4829,4071,-287.48,,21
4691322,70665012,21 16:07:16,4829,2370,-67377.47,,21
4691323,70665012,21 16:22:50,4829,4071,-188.66,,21
4691324,70665012,21 16:22:28,4829,2371,-18865.69,,21
