,day,value
0,0,10268.046875
1,1,10210.49375
2,2,9197.026249999999
3,3,17708.297777777778
4,4,-15963.194090909094
5,5,9138.07
6,6,12038.108888888888
7,7,23259.521818181816
8,8,-23816.687777777777
9,9,7666.06
10,10,-60959.64333333334
11,11,22801.28444444445
12,12,13612.272
13,13,-15981.294285714286
14,14,8343.577999999998
15,15,8401.971500000001
16,16,8188.8594444444425
17,17,6323.857714285715
18,18,-12479.349090909096
19,19,9804.919333333333
20,20,11080.138461538463
21,21,-17800.285624999997
22,22,5382.270588235295
23,23,2491.0933333333332
24,24,-1760.558750000001
25,25,3348.6605000000004
26,26,7738.782857142857
27,27,-39085.813125
28,28,4003.1528571428576
29,29,3323.9533333333334
30,30,2320.7816666666663
31,31,-29025.969
32,32,18054.66888888889
33,33,4822.302857142857
34,34,8332.348000000002
35,35,1947.0361538461536
36,36,2239.178
37,37,-7239.3358333333335
38,38,-24654.54
39,39,24532.88583333333
40,40,14379.771052631577
41,41,6916.2970000000005
42,42,498.9146428571447
43,43,8467.102857142858
44,44,26209.836666666666
45,45,8636.964210526317
46,46,-2290.8357142857153
47,47,6423.32
48,48,-572.7075
49,49,2088.7
50,50,20830.870000000003
51,51,15249.77
52,52,-135158.87625
53,53,-2245.92
54,54,-2510.934
55,55,10330.09
56,56,18162.238214285713
57,57,10077.1425
58,58,6479.465
59,59,-22316.916666666668
60,60,9012.24818181818
61,61,-7094.930000000005
62,62,8452.936153846154
63,63,-44872.27375
64,64,314.43
65,65,1078.0349999999999
66,66,-2960.57
67,67,1459.85
68,68,6333.4825
69,69,-16639.02714285714
70,70,26128.986
71,71,-2803.651666666666
72,72,13260.81846153846
73,73,22222.471538461537
74,74,42539.372307692305
75,75,-434.8909090909132
76,76,7877.04
77,77,-6217.7307692307695
78,78,5563.746363636365
79,79,9182.051666666666
80,80,19198.836666666666
81,81,-41124.038235294116
82,82,30881.340769230763
83,83,-22104.9504
84,84,1929.7592307692307
85,85,2984.2612499999996
86,86,-6981.589999999998
87,87,10335.174705882355
88,88,2317.8711538461534
89,89,-111849.41166666667
90,90,9423.220000000001
91,91,-22534.76
92,92,-35812.08714285713
93,93,4518.784
94,94,12571.51375
95,95,22162.695
96,96,7113.136428571429
97,97,-64558.84999999999
98,98,1966.7828571428574
99,99,-1355.9712500000007
100,100,-1904.2366666666667
101,101,6085.495416666665
102,102,11949.453157894734
103,103,48026.66266666666
104,104,-2982.576
105,105,-33322.370625
106,106,8931.257777777779
107,107,16303.478333333334
108,108,14716.87363636364
109,109,-22848.926818181826
110,110,11847.205000000002
111,111,-4637.815714285714
112,112,6079.596956521739
113,113,15206.57769230769
114,114,3531.7037500000006
115,115,3384.655135135135
116,116,15206.955000000002
117,117,16556.609999999997
118,118,17640.92
119,119,-4093.1999999999975
120,120,24605.610000000004
121,121,-3824.472857142857
122,122,680.091250000001
123,123,-6699.1179999999995
124,124,15101.633829787237
125,125,-2352.836896551724
126,126,-11083.076153846156
127,127,3956.556666666667
128,128,11718.0625
129,129,-2710.0733333333333
130,130,-2807.397777777778
131,131,-125665.62999999998
132,132,4530.624545454546
133,133,5576.6089999999995
134,134,8549.4525
135,135,15637.99
136,136,15205.624545454542
137,137,2783.184000000001
138,138,-171.74647058823672
139,139,-58503.10999999999
140,140,-18150.005483870966
141,141,-5056.208064516129
142,142,-10757.935000000001
143,143,4441.2975
144,144,-68938.38499999998
145,145,-11536.519999999999
146,146,18127.3475
147,147,3391.332
148,148,-26771.316666666666
149,149,2611.5507999999995
150,150,8568.917333333333
151,151,6713.4158333333335
152,152,2523.4088888888887
153,154,2099.9300000000003
154,155,4427.6614285714295
155,156,-2699.5879999999997
156,157,10117.85
157,158,4970.959999999999
158,159,10638.156666666668
159,160,5695.642999999999
160,161,2544.208333333333
161,162,3803.0833333333335
162,163,13021.818
163,164,7156.049999999999
164,165,10212.678333333333
165,166,-13632.70892857143
166,167,-4.491428571427605
167,168,7681.031578947367
168,169,6651.815652173915
169,170,8213.500833333334
170,171,15237.289999999999
171,172,12628.284999999998
