,customer_id,tr_datetime,mcc_code,tr_type,amount,term_id,day
4295002,5546147,1 03:59:53,4814,1030,-3368.87,,1
4295004,5546147,3 09:12:60,4829,2330,-22459.16,,3
4295007,5546147,6 12:25:12,4829,2330,-336887.37,,6
4295008,5546147,6 12:28:34,4829,2330,-112295.79,,6
4295011,5546147,7 04:01:19,4829,2370,-112295.79,,7
4295014,5546147,12 07:08:51,4814,1030,-3368.87,,12
4295017,5546147,14 12:30:20,4829,2370,-269509.89,,14
4295020,5546147,14 12:31:17,4829,2370,-22459.16,,14
4295021,5546147,14 13:55:29,4829,4071,-4565.95,,14
4295022,5546147,14 13:55:27,4829,2371,-456594.0,,14
4295023,5546147,14 18:13:35,4829,4071,-8422.18,,14
4295024,5546147,14 18:13:39,4829,2371,-842218.41,,14
4295029,5546147,19 17:26:56,4829,2370,-1347549.46,,19
4295033,5546147,20 10:00:04,4829,2330,-1122957.89,,20
4295034,5546147,20 10:27:48,4829,2370,-673774.73,,20
4295037,5546147,21 06:33:54,4829,2370,-10963.21,,21
4295038,5546147,21 16:23:32,4829,4071,-565.97,,21
4295039,5546147,21 16:23:45,4829,2371,-56597.08,,21
4295040,5546147,21 16:26:33,4829,2370,-32341.19,,21
4295041,5546147,21 17:12:41,4814,1030,-3368.87,,21
4295043,5546147,22 17:13:47,4829,2370,-449183.15,,22
4295044,5546147,24 03:10:20,4829,2370,-1347.55,,24
4295050,5546147,26 17:16:37,4829,2370,-449183.15,,26
4295051,5546147,27 18:26:48,4814,1030,-3368.87,,27
4295060,5546147,31 16:51:48,4829,2370,-10106.62,,31
4295061,5546147,32 05:35:35,4829,2370,-20213.24,,32
4295062,5546147,32 05:38:29,4829,2370,-66254.52,,32
4295063,5546147,32 05:47:21,4829,2370,-30027.89,,32
4295064,5546147,32 06:03:03,4829,2370,-6423.32,,32
4295065,5546147,32 06:06:04,4829,2370,-22908.34,,32
4295066,5546147,32 06:09:07,4829,2370,-141492.69,,32
4295067,5546147,32 06:20:27,4829,2370,-42245.68,,32
4295068,5546147,32 09:33:49,4829,2370,-17181.26,,32
4295069,5546147,32 09:39:46,4829,4071,-281.64,,32
4295070,5546147,32 09:39:49,4829,2371,-28163.78,,32
4295071,5546147,32 10:49:17,4829,2370,-20752.26,,32
4295072,5546147,32 10:57:10,4829,4071,-212.46,,32
4295073,5546147,32 10:57:56,4829,2371,-21246.36,,32
4295074,5546147,32 11:02:56,4829,2370,-6670.37,,32
4295075,5546147,32 11:08:47,4829,4071,-160.58,,32
4295076,5546147,32 11:08:08,4829,2371,-16058.3,,32
4295077,5546147,32 11:13:02,4829,2370,-16058.3,,32
4295078,5546147,32 11:17:07,4829,4071,-49.41,,32
4295079,5546147,32 11:17:20,4829,2371,-4941.01,,32
4295082,5546147,32 15:32:42,4829,2370,-4446.91,,32
4295083,5546147,32 18:18:28,4829,2370,-33688.74,,32
4295084,5546147,32 18:21:50,4829,2371,-130263.11,,32
4295085,5546147,32 18:21:54,4829,4071,-1302.63,,32
4295086,5546147,32 18:24:55,4829,2370,-60639.73,,32
4295087,5546147,33 05:25:31,4829,2370,-519929.5,,33
4295089,5546147,33 05:31:09,4829,2371,-208129.01,,33
4295090,5546147,33 05:31:20,4829,4071,-2081.29,,33
4295091,5546147,33 05:37:02,4829,4071,-256.03,,33
4295092,5546147,33 05:37:36,4829,2371,-25603.44,,33
4295093,5546147,33 05:40:58,4829,4071,-101.07,,33
4295094,5546147,33 05:40:06,4829,2371,-10106.62,,33
4295095,5546147,33 05:44:06,4829,4071,-87.59,,33
4295096,5546147,33 05:44:22,4829,2371,-8759.07,,33
4295097,5546147,33 05:49:16,4829,2371,-83907.41,,33
4295098,5546147,33 05:49:36,4829,4071,-839.07,,33
4295099,5546147,33 05:53:25,4829,4071,-175.18,,33
4295100,5546147,33 05:53:50,4829,2371,-17518.14,,33
4295101,5546147,33 05:56:25,4829,2370,-22908.34,,33
4295102,5546147,33 05:59:57,4829,2371,-10106.62,,33
4295103,5546147,33 05:59:26,4829,4071,-101.07,,33
4295104,5546147,33 06:03:03,4829,2371,-63110.23,,33
4295105,5546147,33 06:03:12,4829,4071,-631.1,,33
4295106,5546147,33 06:07:31,4829,4071,-229.08,,33
4295107,5546147,33 06:07:28,4829,2371,-22908.34,,33
4295108,5546147,33 06:10:54,4829,4071,-229.08,,33
4295109,5546147,33 06:10:20,4829,2371,-22908.34,,33
4295110,5546147,33 06:13:57,4829,2371,-2156.08,,33
4295111,5546147,33 06:13:11,4829,4071,-21.56,,33
4295112,5546147,33 06:17:34,4829,4071,-120.38,,33
4295113,5546147,33 06:17:51,4829,2371,-12038.11,,33
4295114,5546147,33 06:23:44,4829,2371,-22908.34,,33
4295115,5546147,33 06:23:35,4829,4071,-229.08,,33
4295116,5546147,33 06:25:17,4829,4071,-256.03,,33
4295117,5546147,33 06:25:16,4829,2371,-25603.44,,33
4295118,5546147,33 06:28:55,4829,4071,-256.03,,33
4295119,5546147,33 06:28:16,4829,2371,-25603.44,,33
4295120,5546147,33 06:30:05,4829,4071,-1432.89,,33
